ALLEEN DE EERSTE 4 KOLOMMEN PARSEN
Uur van de dag,Gebruikers,Nieuwe gebruikers,Sessies 
2018021812,21,14,21,2
2018021813,10,7,11,0
2018021814,14,6,15,1
2018021815,17,10,17,1
2018021816,15,7,17,0
2018021817,15,6,15,1
2018021818,13,6,13,1
2018021819,15,10,16,1
2018021820,9,4,9,0
2018021821,13,8,13,0
2018021822,12,8,12,0
2018021823,12,6,12,0
2018021900,5,3,5,0
2018021901,1,1,1,0
2018021904,1,1,1,0
2018021905,1,1,1,0
2018021906,4,3,4,0
2018021907,24,7,25,1
2018021908,119,37,117,1
2018021909,191,69,193,6
2018021910,164,46,161,2
2018021911,139,35,139,0
2018021912,131,59,132,3
2018021913,108,40,110,0
2018021914,138,39,139,4
2018021915,123,42,120,1
2018021916,111,40,108,1
2018021917,54,23,45,0
2018021918,26,8,26,0
2018021919,27,10,26,0
2018021920,28,11,27,2
2018021921,30,16,28,1
2018021922,17,5,17,0
2018021923,8,3,8,0
2018022000,9,7,9,1
2018022001,3,1,3,1
2018022002,4,1,3,0
2018022003,1,0,1,0
2018022004,3,1,2,0
2018022006,2,2,2,0
2018022007,25,12,25,3
2018022008,118,26,121,1
2018022009,172,37,170,3
2018022010,136,27,133,1
2018022011,136,40,135,5
2018022012,90,17,88,0
2018022013,115,31,120,1
2018022014,124,53,125,2
2018022015,111,49,112,4
2018022016,83,27,86,2
2018022017,35,14,36,0
2018022018,25,13,25,0
2018022019,30,10,30,0
2018022020,31,11,32,1
2018022021,29,12,29,2
2018022022,20,9,19,0
2018022023,7,6,9,0
2018022100,6,3,6,0
2018022101,1,0,0,0
2018022104,1,1,1,0
2018022106,8,2,8,1
2018022107,16,2,16,0
2018022108,116,39,117,3
2018022109,167,50,167,2
2018022110,124,42,126,1
2018022111,112,33,114,2
2018022112,79,28,80,1
2018022113,103,41,106,6
2018022114,121,42,117,1
2018022115,92,26,95,2
2018022116,93,29,92,2
2018022117,39,15,35,2
2018022118,18,7,20,3
2018022119,31,16,31,0
2018022120,28,14,28,0
2018022121,27,10,29,2
2018022122,20,13,21,2
2018022123,10,4,11,0
2018022200,2,1,2,1
2018022201,4,2,4,1
2018022202,1,0,0,0
2018022203,2,0,2,0
2018022205,2,2,2,0
2018022206,3,1,3,0
2018022207,23,4,22,0
2018022208,106,23,107,0
2018022209,160,42,164,0
2018022210,136,47,134,1
2018022211,107,37,109,4
2018022212,81,36,83,3
2018022213,102,38,106,1
2018022214,129,48,127,3
2018022215,85,14,85,0
2018022216,92,29,97,1
2018022217,47,21,44,1
2018022218,18,9,18,0
2018022219,22,9,23,1
2018022220,35,12,35,1
2018022221,32,17,33,1
2018022222,12,4,9,0
2018022223,10,4,11,1
2018022300,8,3,8,0
2018022301,1,1,1,0
2018022302,1,0,1,0
2018022303,1,1,1,0
2018022305,2,0,2,0
2018022306,4,0,4,0
2018022307,24,12,25,1
2018022308,95,26,95,2
2018022309,135,36,141,1
2018022310,136,46,134,1
2018022311,102,35,103,2
2018022312,84,24,82,3
2018022313,105,41,104,2
2018022314,100,33,105,1
2018022315,84,24,86,3
2018022316,68,25,69,2
2018022317,24,6,23,0
2018022318,13,4,13,0
2018022319,20,7,19,0
2018022320,10,4,10,2
2018022321,19,9,19,0
2018022322,12,5,13,0
2018022323,9,4,8,0
2018022400,3,1,3,0
2018022404,1,0,1,0
2018022406,2,1,2,0
2018022407,6,3,6,0
2018022408,8,2,7,0
2018022409,14,4,13,0
2018022410,18,4,18,2
2018022411,19,8,19,1
2018022412,20,8,19,2
2018022413,11,4,12,0
2018022414,10,4,9,0
2018022415,11,4,12,0
2018022416,17,8,16,0
2018022417,11,5,11,0
2018022418,9,7,9,0
2018022419,8,6,11,1
2018022420,10,6,10,1
2018022421,3,1,3,0
2018022422,7,3,8,0
2018022423,4,1,5,0
2018022500,2,1,2,0
2018022501,2,1,3,0
2018022506,2,0,2,0
2018022507,1,1,1,1
2018022508,2,1,2,0
2018022509,7,3,7,0
2018022510,10,5,11,2
2018022511,22,8,22,1
2018022512,18,5,18,0
2018022513,12,3,11,1
2018022514,9,5,9,0
2018022515,18,9,20,0
2018022516,14,8,14,1
2018022517,20,8,21,1
2018022518,13,5,11,1
2018022519,17,8,17,2
2018022520,25,10,25,0
2018022521,8,2,8,0
2018022522,17,8,19,0
2018022523,7,1,6,0
2018022600,1,1,1,0
2018022603,1,0,1,0
2018022605,1,1,3,0
2018022606,1,1,1,0
2018022607,22,9,23,0
2018022608,100,26,99,0
2018022609,135,26,133,0
2018022610,119,35,121,2
2018022611,134,36,132,2
2018022612,93,21,91,1
2018022613,112,41,111,1
2018022614,125,41,132,2
2018022615,110,42,110,2
2018022616,125,47,122,2
2018022617,41,12,40,0
2018022618,22,9,22,1
2018022619,26,10,25,1
2018022620,27,7,26,0
2018022621,32,15,33,0
2018022622,22,12,23,0
2018022623,6,3,6,0
2018022700,6,3,6,0
2018022703,1,0,1,0
2018022705,3,0,4,0
2018022706,3,1,3,1
2018022707,26,8,26,1
2018022708,112,20,108,3
2018022709,154,40,153,2
2018022710,120,38,119,1
2018022711,106,28,105,2
2018022712,78,18,76,1
2018022713,84,26,90,1
2018022714,106,41,109,1
2018022715,94,35,92,2
2018022716,89,29,91,2
2018022717,34,12,33,0
2018022718,25,7,26,0
2018022719,26,10,26,2
2018022720,24,10,24,1
2018022721,18,7,18,0
2018022722,9,4,8,0
2018022723,7,4,8,1
2018022800,5,2,6,0
2018022801,1,1,1,0
2018022803,3,3,3,0
2018022804,7,4,8,0
2018022805,1,0,0,0
2018022806,3,1,3,0
2018022807,11,3,10,0
2018022808,91,13,92,1
2018022809,132,30,130,2
2018022810,115,30,116,1
2018022811,106,31,104,3
2018022812,71,17,69,2
2018022813,88,24,89,1
2018022814,86,30,88,3
2018022815,93,24,95,1
2018022816,88,32,90,2
2018022817,50,21,50,1
2018022818,12,4,12,1
2018022819,17,3,17,1
2018022820,14,6,15,0
2018022821,19,11,18,1
2018022822,14,7,15,0
2018022823,5,2,5,0
